Company,alt_name,NewsID,Year,Circ,City,State
the post & mail,,813,1994,G,columbia city,in
connersville news-examiner,,814,2007,G,connersville,in
journal review,,815,1998,F,crawfordsville,in
decatur daily democrat,,816,1998,G,decatur,in
the call-leader,,817,2005,H,elwood,in
the times,,818,1994,G,frankfort,in
daily journal,,819,1998,F,franklin,in
the goshen news,,820,1998,F,goshen,in
banner-graphic,,821,2000,G,greencastle,in
daily reporter,,822,1998,G,greenfield,in
greensburg daily news,,823,2007,G,greensburg,in
hartford city news-times,,824,2004,H,hartford city,in
huntington herald-press,,825,1998,G,huntington,in
the herald,,826,1994,F,jasper,in
the evening news,,827,1997,F,jeffersonville,in
the news-sun,,828,2008,G,kendallville,in
journal and courier,,830,1997,E,lafayette,in
herald-argus,,831,2005,F,laporte,in
the lebanon reporter,,832,2001,G,lebanon,in
the daily world,,833,2006,G,linton,in
pharos-tribune,,834,2002,F,logansport,in
the madison courier,,835,1998,G,madison,in
chronicle-tribune,,836,1998,F,marion,in
the reporter-times,,837,2007,G,martinsville,in
the news-dispatch,,838,1994,F,michigan city,in
herald journal,,839,2004,G,monticello,in
the evening press,,841,1994,F,muncie,in
"tribune and the evening news, jeffersonville",,843,2008,F,new albany,in
the daily ledger,,844,2001,F,fishers,in
peru tribune,,845,1998,G,peru,in
pilot news,,846,2001,G,plymouth,in
the commercial review,,847,1994,G,portland,in
princeton daily clarion,,848,2002,G,princeton,in
republican,,849,1998,H,rensselaer,in
palladium-item,,850,1999,F,richmond,in
the rochester sentinel,,851,1998,H,rochester,in
the rushville republican,,852,2006,H,rushville,in
the tribune,,853,1995,G,seymour,in
the shelbyville news,,854,1997,F,shelbyville,in
spencer evening world,,855,1998,H,spencer,in
the sullivan daily times,,856,2012,H,sullivan,in
tipton county tribune,,857,1998,H,tipton,in
the vidette-messenger,,858,1996,F,valparaiso,in
vincennes sun-commercial,,859,2001,F,vincennes,in
wabash plain dealer,,860,2004,G,wabash,in
times-union,,861,2009,F,warsaw,in
washington times-herald,,862,1997,F,washington,in
winchester news-gazette,,863,1998,H,winchester,in
the tribune,,864,1999,G,ames,ia
atlantic news-telegraph,,865,2002,H,atlantic,ia
boone news-republican,,866,1998,H,boone,ia
daily times-herald,,867,1998,G,carroll,ia
ad express & daily iowegian,,869,2002,H,centerville,ia
charles city press,,870,1998,H,charles city,ia
the daily times,,871,1994,H,cherokee,ia
clinton herald,,872,2002,F,clinton,ia
the daily nonpareil,,873,1996,F,council bluffs,ia
creston news advertiser,,874,2003,G,creston,ia
telegraph herald,,875,1997,E,dubuque,ia
the fairfield ledger,,877,1998,H,fairfield,ia
the messenger,,878,1996,F,fort dodge,ia
fort madison daily democrat,,879,2006,G,fort madison,ia
iowa city press-citizen,,880,1998,F,iowa city,ia
daily gate city,,881,2002,G,keokuk,ia
le mars daily sentinel,,882,2000,H,le mars,ia
globe gazette,,883,2001,F,mason city,ia
the mt. pleasant news,,884,1998,H,mount pleasant,ia
muscatine journal,,885,1998,G,muscatine,ia
the newton daily news,,887,1999,G,newton,ia
daily register,,888,2006,H,oelwein,ia
oskaloosa herald,,889,1998,H,oskaloosa,ia
the ottumwa courier,,890,1998,F,ottumwa,ia
valley news today,,892,1998,H,shenandoah,ia
sioux city journal,,893,1998,E,sioux city,ia
the daily reporter,,894,1994,H,spencer,ia
the cedar valley times,,895,1995,H,vinton,ia
the washington evening journal,,896,1998,H,washington,ia
the daily freeman-journal,,897,1994,H,webster city,ia
abilene reflector-chronicle,,898,1998,H,abilene,ks
arkansas city traveler,,899,2002,H,arkansas city,ks
atchison daily globe,,900,1998,H,atchison,ks
butler county times gazette,,901,2014,H,augusta,ks
beloit daily call,,902,1998,H,beloit,ks
the chanute tribune,,904,1997,H,chanute,ks
clay center dispatch,,905,2001,H,clay center,ks
the columbus daily advocate,,906,1998,H,columbus,ks
blade-empire,,907,2007,H,concordia,ks
council grove republican,,908,1998,H,council grove,ks
dodge city daily globe,,909,2000,G,dodge city,ks
the el dorado times,,910,1998,H,el dorado,ks
the fort scott tribune,,911,1999,H,fort scott,ks
the garden city telegram,,913,1997,F,garden city,ks
the goodland daily news,,914,1998,H,goodland,ks
great bend tribune,,915,2000,G,great bend,ks
the hays daily news,,916,1998,F,hays,ks
hiawatha daily world,,917,1998,H,hiawatha,ks
independence daily reporter,,918,1999,G,independence,ks
iola register,,919,1998,H,iola,ks
the daily union,,920,1994,G,junction city,ks
kansas city kansan,,921,1998,F,kansas city,ks
the tiller & toiler,,922,1999,H,larned,ks
leavenworth times,,923,2008,G,leavenworth,ks
southwest daily times,,924,1998,G,liberal,ks
the lyons daily news,,925,1998,H,lyons,ks
mcpherson sentinel,,926,1998,G,mcpherson,ks
newton kansan,,928,1998,G,newton,ks
the norton daily telegram,,929,2001,H,norton,ks
the morning sun,,930,1994,F,pittsburg,ks
the pratt tribune,,931,2002,H,pratt,ks
the russell daily news,,932,2001,H,russell,ks
salina journal,,933,2005,E,salina,ks
wellington daily news,,934,1998,H,wellington,ks
winfield daily courier,,935,1997,G,winfield,ks
the independent,,936,2004,F,ashland,ky
daily news,,937,1998,F,bowling green,ky
times-tribune,,938,2001,G,corbin,ky
the advocate-messenger,,939,1995,F,danville,ky
the news-enterprise,,940,1994,F,elizabethtown,ky
the state journal,,941,1994,F,frankfort,ky
glasgow daily times,,943,2005,G,glasgow,ky
the harlan daily enterprise,,944,2000,G,harlan,ky
the gleaner,,945,1994,F,henderson,ky
kentucky new era,,946,1998,F,hopkinsville,ky
the messenger,,947,1994,F,madisonville,ky
mayfield messenger,,948,2005,G,mayfield,ky
the ledger-independent,,949,1994,G,maysville,ky
the daily news,,950,1999,G,middlesboro,ky
the murray ledger & times,,951,1998,G,murray,ky
the richmond register,,953,2001,G,richmond,ky
the commonwealth-journal,,954,2008,G,somerset,ky
the winchester sun,,955,1998,G,winchester,ky
the bastrop daily enterprise,,956,2008,H,bastrop,la
the advocate,,957,1994,D,baton rouge,la
daily news,,958,1998,G,bogalusa,la
st. mary and franklin banner-tribune,,961,1998,H,franklin,la
the daily star,,962,1994,F,hammond,la
the courier/daily comet,,963,2009,E,houma,la
jennings daily news,,965,1998,G,jennings,la
the daily advertiser,,966,2016,E,lafayette,la
minden press-herald,,968,2000,H,minden,la
the daily review,,969,1996,G,morgan city,la
the daily iberian,,970,1994,F,new iberia,la
the daily world,,971,1994,F,opelousas,la
ruston daily leader,,972,1998,G,ruston,la
the sentry-news,,973,1997,G,slidell,la
daily comet,,975,1998,F,thibodaux,la
central maine newspapers,,976,2004,E,augusta,me
journal tribune,,977,2008,G,biddeford,me
the times record,,978,1994,F,brunswick,me
sun journal,,979,1998,E,lewiston,me
portland press herald/maine sunday telegram,,981,1999,D,portland,me
morning sentinel,,983,2000,F,waterville,me
daily banner,,985,1998,H,cambridge,md
cumberland times-news,,986,2006,E,cumberland,md
the star democrat,,988,1998,F,easton,md
the frederick news-post,,989,2000,E,frederick,md
the daily times,,991,1994,E,salisbury,md
athol daily news,,992,2000,G,athol,ma
the sun chronicle,,993,2005,F,attleboro,ma
the enterprise,,995,1998,E,brockton,ma
the daily item,,998,1994,H,clinton,ma
the daily transcript,,999,1995,G,dedham,ma
the herald news,,1000,1995,E,fall river,ma
sentinel & enterprise,,1001,1997,F,fitchburg,ma
the metrowest daily news / the milford daily news,,1002,2014,F,framingham,ma
the gardner news,,1003,1999,G,gardner,ma
the recorder,,1004,1994,F,greenfield,ma
the gazette,,1005,1994,F,haverhill,ma
the marlboro enterprise/hudson daily sun,,1006,1995,G,acton,ma
the eagle-tribune newspapers/cnhi,,1007,2007,D,north andover,ma
the daily item,,1008,2009,F,lynn,ma
the milford daily news,,1012,2008,G,milford,ma
the standard times,,1013,1995,E,new bedford,ma
daily hampshire gazette,,1014,1997,F,northampton,ma
the berkshire eagle,,1016,1994,E,pittsfield,ma
taunton daily gazette,,1017,1998,F,taunton,ma
wakefield daily item,,1018,2010,H,wakefield,ma
westfield evening news,,1019,1998,G,westfield,ma
daily times chronicle,,1020,1998,F,woburn,ma
the daily telegram,,1021,1994,F,adrian,mi
albion recorder/marshall chronicle,,1022,1998,H,albion,mi
the alpena news,,1023,2001,F,alpena,mi
the huron daily tribune,,1024,1994,G,bad axe,mi
the herald-palladium,,1025,1994,E,st. joseph,mi
big rapids pioneer,,1026,1998,G,big rapids,mi
cadillac news,,1027,1999,G,cadillac,mi
cheboygan daily tribune,,1028,2001,H,cheboygan,mi
the daily reporter,,1029,1995,G,coldwater,mi
dowagiac daily news,,1030,2007,H,dowagiac,mi
the daily press,,1031,1994,F,escanaba,mi
grand haven tribune,,1032,1998,F,grand haven,mi
the daily news,,1033,1994,G,greenville,mi
hillsdale daily news,,1034,1998,G,hillsdale,mi
the daily mining gazette,,1035,1994,F,houghton,mi
sentinel-standard,,1036,2001,H,ionia,mi
the daily news,,1037,1996,F,iron mountain,mi
ironwood daily globe,,1038,2005,G,ironwood,mi
lansing state journal,,1039,1998,D,lansing,mi
ludington daily news,,1040,1998,G,ludington,mi
manistee news-advocate,,1041,2000,G,manistee,mi
the mining journal,,1042,1996,F,marquette,mi
the chronicle,,1043,1994,H,marshall,mi
eagleherald,,1044,1997,F,marinette,wi
midland daily news,,1045,1998,F,midland,mi
the macomb daily,,1046,1998,D,mount clemens,mi
morning sun,,1047,1998,F,mount pleasant,mi
niles daily star,,1048,1999,H,niles,mi
the argus-press,,1049,2000,F,owosso,mi
petoskey news-review,,1050,1997,F,petoskey,mi
times herald,,1051,1997,E,port huron,mi
the daily tribune,,1052,2011,F,mount clemens,mi
the saginaw news,,1053,2003,E,saginaw,mi
the evening news,,1054,1994,G,sault ste. marie,mi
the daily tribune,,1055,1994,H,south haven,mi
sturgis journal,,1056,2002,G,sturgis,mi
three rivers commercial,,1057,2001,H,three rivers,mi
the press,,1058,1994,F,ypsilanti,mi
albert lea tribune,,1059,2001,G,albert lea,mn
austin daily herald,,1060,1998,G,austin,mn
the pioneer,,1061,2003,G,bemidji,mn
brainerd dispatch,,1062,2005,F,brainerd,mn
crookston daily times,,1063,2002,H,crookston,mn
sentinel,,1064,2000,G,fairmont,mn
faribault daily news,,1065,1998,G,faribault,mn
daily journal,,1066,1999,G,fergus falls,mn
the daily tribune,,1067,1994,F,hibbing,mn
the daily journal,,1068,1994,H,international falls,mn
independent,,1070,1998,G,marshall,mn
the journal,,1072,1995,G,new ulm,mn
owatonna people's press,,1073,2000,G,owatonna,mn
red wing republican eagle,,1074,2000,G,red wing,mn
st. cloud times,,1075,1998,E,st. cloud,mn
stillwater gazette,,1076,2006,H,stillwater,mn
west central tribune,,1078,1999,F,willmar,mn
daily globe,,1080,1998,F,worthington,mn
daily leader,,1081,1998,G,brookhaven,ms
press register,,1082,1998,G,clarksdale,ms
the bolivar commercial,,1083,1994,G,cleveland,ms
commercial dispatch,,1084,1997,F,columbus,ms
the daily corinthian,,1085,1994,G,corinth,ms
delta democrat times,,1086,1998,F,greenville,ms
the daily star,,1087,2008,G,grenada,ms
hattiesburg american,,1088,1998,F,hattiesburg,ms
laurel leader-call,,1089,2001,G,laurel,ms
the meridian star,,1090,1998,F,meridian,ms
the oxford eagle,,1091,2003,G,oxford,ms
the mississippi press,,1092,1995,F,pascagoula,ms
starkville daily news,,1093,1999,G,starkville,ms
northeast mississippi daily journal,,1094,1998,E,tupelo,ms
the vicksburg post,,1095,1998,F,vicksburg,ms
boonville daily news,,1099,2005,H,boonville,mo
the daily news-bulletin,,1101,1998,H,brookfield,mo
southeast missourian,,1102,2012,F,cape girardeau,mo
the daily democrat,,1103,1994,H,carrollton,mo
the carthage press,,1104,1998,H,carthage,mo
constitution tribune,,1105,2008,H,chillicothe,mo
the clinton daily democrat,,1106,1998,H,clinton,mo
the columbia missourian,,1107,2014,F,columbia,mo
the daily statesman,,1108,1998,H,dexter,mo
the daily journal,,1112,1998,G,park hills,mo
the fulton sun,,1113,2007,H,fulton,mo
hannibal courier-post,,1115,1998,G,hannibal,mo
"the examiner, independence/the examiner, blue springs",,1116,2012,H,independence,mo
jefferson city post-tribune and daily capital news,,1118,1998,F,jefferson city,mo
the daily dunklin democrat,,1119,1995,G,kennett,mo
kirksville daily express,,1120,2005,H,kirksville,mo
the lebanon daily record,,1123,1998,H,lebanon,mo
chronicle-herald,,1125,2008,H,macon,mo
the marshall democrat-news,,1126,1998,H,marshall,mo
maryville daily forum,,1127,1998,H,maryville,mo
moberly monitor-index,,1128,2009,G,moberly,mo
times,,1130,1998,H,monett,mo
neosho daily news,,1131,1998,H,neosho,mo
the nevada daily mail,,1132,2007,H,nevada,mo
daily american republic,,1134,2011,F,poplar bluff,mo
the daily news,,1135,2006,H,richmond,mo
rolla daily news,,1136,2007,H,rolla,mo
the sedalia democrat,,1139,1998,F,sedalia,mo
standard-democrat,,1140,1998,G,sikeston,mo
trenton republican-times,,1141,2005,H,trenton,mo
the daily star-journal,,1142,1998,H,warrensburg,mo
the daily guide,,1143,2008,H,waynesville,mo
west plains daily quill,,1144,1997,G,west plains,mo
bozeman daily chronicle,,1145,1998,F,bozeman,mt
the montana standard,,1146,1994,F,butte,mt
ravalli republic,,1147,1998,G,hamilton,mt
havre daily news,,1148,1998,H,havre,mt
helena independent record,,1149,2000,F,helena,mt
daily inter lake,,1150,1999,F,kalispell,mt
miles city star,,1151,1998,H,miles city,mt
alliance times-herald,,1152,2011,H,alliance,ne
beatrice daily sun,,1153,1998,G,beatrice,ne
columbus telegram,,1154,2000,F,columbus,ne
the journal,,1155,1994,H,falls city,ne
fremont tribune,,1156,1998,G,fremont,ne
the grand island independent,,1157,1997,F,grand island,ne
hastings tribune,,1158,1999,F,hastings,ne
holdrege daily citizen,,1159,2004,H,holdredge,ne
kearney hub,,1160,1998,F,kearney,ne
mccook daily gazette,,1161,2004,G,mccook,ne
nebraska city news-press,,1162,1999,H,nebraska city,ne
norfolk daily news,,1163,1998,F,norfolk,ne
the north platte telegraph,,1164,1998,F,north platte,ne
york news-times,,1165,2000,G,york,ne
nevada appeal,,1166,1998,F,carson city,nv
elko daily free press,,1167,2001,G,elko,nv
ely daily times,,1168,1999,H,ely,nv
statesboro herald,,1169,1998,G,statesboro,ga
las vegas sun,,1171,2003,E,henderson,nv
eagle times,,1173,1999,G,claremont,nh
foster's daily democrat,,1174,2000,E,dover,nh
citizen,,1175,1998,F,laconia,nh
the union leader,,1176,2000,D,manchester,nh
the telegraph,,1178,1994,E,nashua,nh
portsmouth herald,,1179,1998,F,portsmouth,nh
asbury park press,,1180,1997,C,neptune,nj
bridgeton evening news,,1181,1998,G,bridgeton,nj
courier-post,,1182,1997,D,cherry hill,nj
daily record,,1186,2000,D,parsippany,nj
new jersey herald,,1188,2005,F,newton,nj
today's sunbeam,,1190,1994,F,salem,nj
the ocean county observer,,1191,1994,F,toms river,nj
the times,,1192,1994,D,trenton,nj
burlington county times,,1195,1998,E,willingboro,nj
the news tribune,,1196,1994,D,woodbridge,nj
the gloucester county times,,1197,1995,E,woodbury,nj
alamogordo daily news,,1198,1998,G,alamogordo,nm
artesia daily press,,1199,2001,H,artesia,nm
carlsbad current-argus,,1200,1998,G,carlsbad,nm
clovis news journal,,1201,1998,G,clovis,nm
farmington daily times,,1202,2014,F,farmington,nm
the independent,,1203,1994,F,gallup,nm
hobbs daily news-sun,,1205,1998,F,hobbs,nm
las cruces sun-news,,1206,1998,F,las cruces,nm
las vegas optic,,1207,1999,G,las vegas,nm
los alamos monitor,,1208,2000,G,los alamos,nm
the lovington daily leader,,1209,2011,H,lovington,nm
portales news-tribune,,1210,2001,H,portales,nm
roswell daily record,,1212,2002,F,roswell,nm
silver city daily press & independent,,1213,1998,G,silver city,nm
the recorder,,1216,1994,F,amsterdam,ny
citizen,,1218,1998,F,auburn,ny
the daily news,,1219,1994,F,batavia,ny
daily mail,,1222,1999,G,catskill,ny
the leader,,1223,1994,F,corning,ny
cortland standard,,1224,2001,F,cortland,ny
evening observer,,1225,1998,F,dunkirk,ny
finger lakes times,,1227,1997,F,geneva,ny
the post-star,,1228,1994,E,glens falls,ny
the leader-herald,,1230,1995,F,gloversville,ny
the evening telegram/evening times,,1231,2012,G,herkimer,ny
evening tribune,,1233,2013,G,hornell,ny
register-star,,1235,1999,G,hudson,ny
the ithaca journal,,1236,1997,F,ithaca,ny
post-journal,,1238,2000,F,jamestown,ny
daily freeman,,1239,2000,F,kingston,ny
the evening times,,1240,2011,H,herkimer,ny
union-sun & journal,,1241,2001,F,lockport,ny
the malone telegram,,1244,1998,G,malone,ny
the journal-register,,1246,1995,G,medina,ny
the times herald-record,,1247,2004,D,middletown,ny
journal of commerce,,1251,1997,F,new york,ny
niagara gazette,,1255,2007,F,niagra falls,ny
tonawanda news,,1256,1998,F,north tonawanda,ny
the evening sun,,1257,1994,G,norwich,ny
the rockland journal-news,,1258,1994,E,west nyack,ny
the journal and courier-observer,,1259,2008,F,ogdensburg,ny
times-herald,,1261,2001,F,olean,ny
the oneida daily dispatch,,1262,2006,G,oneida,ny
the palladium times,,1264,2008,G,oswego,ny
press-republican,,1266,1997,F,plattsburgh,ny
the tri-state gazette,,1268,1994,G,port jervis,ny
poughkeepsie journal,,1269,1998,E,poughkeepsie,ny
daily sentinel,,1270,2012,F,rome,ny
salamanca press,,1271,1998,H,salamanca,ny
adirondack daily enterprise,,1272,1999,H,saranac lake,ny
the saratogian,,1273,1994,F,saratoga springs,ny
staten island advance,,1274,1997,D,staten island,ny
the record,,1276,1996,E,troy,ny
wellsville daily reporter,,1277,2002,H,wellsville,ny
the courier-tribune,,1280,1994,F,asheboro,nc
independent tribune,,1282,2011,F,kannapolis,nc
the daily record,,1284,1994,G,dunn,nc
the herald-sun,,1286,1997,D,durham,nc
the daily advance,,1287,1994,F,elizabeth city,nc
the gaston gazette,,1289,1998,E,gastonia,nc
news-argus,,1290,1999,F,goldsboro,nc
cooke communications/the daily reflector,,1291,2014,F,greenville,nc
hickory daily record,,1292,1999,F,hickory,nc
the daily news,,1293,2000,F,jacksonville,nc
kinston free press,,1295,1999,F,kinston,nc
news-topic,,1296,2000,F,lenoir,nc
the dispatch,,1297,1994,F,lexington,nc
the robesonian,,1298,1995,F,lumberton,nc
the enquirer-journal,,1299,1994,F,monroe,nc
sun journal,,1300,1998,F,new bern,nc
the observer-news-enterprise,,1301,1998,H,newton,nc
the reidsville review/eden daily news,,1303,2004,G,reidsville,nc
daily herald,,1304,1997,F,roanoke rapids,nc
richmond county daily journal,,1305,1998,G,rockingham,nc
rocky mount telegram,,1306,1998,F,rocky mount,nc
the salisbury post,,1307,1999,E,salisbury,nc
the sanford herald,,1308,1998,F,sanford,nc
statesville record & landmark,,1309,2000,F,statesville,nc
the daily southerner,,1311,1995,G,tarboro,nc
the tryon daily bulletin,,1313,2002,H,tryon,nc
winston-salem journal,,1315,1997,D,winston-salem,nc
devils lake daily journal,,1316,2009,H,devils lake,nd
the dickinson press,,1317,2003,G,dickinson,nd
the jamestown sun,,1318,1998,G,jamestown,nd
minot daily news,,1319,1998,E,minot,nd
valley city times-record,,1320,1998,H,valley city,nd
the daily news,,1321,1994,H,wahpeton,nd
williston daily herald,,1322,1998,G,williston,nd
the  review,,1323,2001,F,alliance,oh
ashland times-gazette,,1324,1998,F,ashland,oh
star beacon,,1325,2002,F,ashtabula,oh
the athens messenger,,1326,1998,F,athens,oh
bellefontaine examiner,,1327,1998,G,bellefontaine,oh
bellevue gazette,,1328,2008,H,bellevue,oh
the sentinel-tribune,,1329,1998,F,bowling green,oh
the bryan times,,1330,1998,F,bryan,oh
telegraph-forum,,1331,1998,G,bucyrus,oh
the daily jeffersonian,,1332,1996,F,cambridge,oh
the daily standard,,1333,1994,F,celina,oh
chillicothe gazette,,1335,1998,F,chillicothe,oh
herald,,1336,1998,G,circleville,oh
coshocton tribune,,1338,2000,G,coshocton,oh
the delaware gazette,,1340,2007,G,delaware,oh
delphos daily herald,,1341,2001,H,delphos,oh
the review,,1342,2000,F,east liverpool,oh
the courier,,1345,1994,E,findlay,oh
review times,,1346,2000,G,fostoria,oh
"the news-messenger/the news herald, port clinton",,1347,2004,F,fremont,oh
the galion inquirer,,1348,1998,H,galion,oh
gallipolis daily tribune,,1349,2004,H,gallipolis,oh
times-gazette,,1351,2007,H,hillsboro,oh
daily advocate,,1352,2006,G,greenville,oh
ironton tribune,,1354,2001,G,ironton,oh
kenton times,,1355,1998,G,kenton,oh
lancaster eagle-gazette,,1356,2003,F,lancaster,oh
the lima news,,1357,1997,E,lima,oh
morning journal,,1358,1998,F,lisbon,oh
logan daily news,,1359,1998,H,logan,oh
the madison press,,1360,1994,G,london,oh
news journal/telegraph-forum,,1361,2009,E,mansfield,oh
the marietta times,,1362,1998,F,marietta,oh
the marion star,,1363,1999,F,marion,oh
the times-leader,,1364,1994,F,martins ferry,oh
marysville journal-tribune,,1365,1997,G,marysville,oh
the independent,,1366,2001,F,massillon,oh
the medina county gazette,,1367,1994,F,medina,oh
the middletown journal,,1368,2004,F,middletown,oh
mount vernon news,,1369,2007,G,mount vernon,oh
northwest signal,,1370,2009,G,napoleon,oh
the times reporter,,1373,2003,F,new philadelphia,oh
piqua daily call,,1374,1998,G,piqua,oh
the daily sentinel,,1375,1994,H,pomeroy,oh
news-herald,,1376,1999,G,port clinton,oh
the portsmouth daily times,,1377,2001,F,portsmouth,oh
the evening leader,,1378,1998,G,st. marys,oh
salem news,,1379,2008,G,salem,oh
sandusky register,,1380,1998,F,sandusky,oh
the sidney daily news,,1382,1998,F,sidney,oh
springfield news-sun,,1383,1997,E,springfield,oh
herald-star/weirton daily times,,1385,2008,F,steubenville,oh
the advertiser-tribune,,1386,1994,F,tiffin,oh
the daily chief-union,,1388,1994,H,upper sandusky,oh
urbana daily citizen,,1389,1998,G,urbana,oh
times bulletin,,1390,2009,G,van wert,oh
wapakoneta daily news,,1391,1998,H,wapakoneta,oh
tribune chronicle,,1392,1997,E,warren,oh
record herald,,1393,1998,G,washington court house,oh
the news-herald,,1394,1994,D,willoughby,oh
news journal,,1395,2006,G,wilmington,oh
greene county dailies,,1396,2004,F,xenia,oh
vindicator,,1397,2012,E,youngstown,oh
times recorder/coshocton tribune,,1398,2007,F,zanesville,oh
the ada evening news,,1399,2000,G,ada,ok
the altus times,,1400,1998,G,altus,ok
alva review-courier,,1401,1998,H,alva,ok
daily news,,1402,1998,H,anadarko,ok
the daily ardmoreite,,1403,1994,F,ardmore,ok
examiner-enterprise,,1404,1999,F,bartlesville,ok
blackwell journal-tribune,,1405,1998,H,blackwell,ok
the express-star,,1406,2005,G,chickasha,ok
the claremore daily progress,,1407,2013,G,claremore,ok
the clinton daily news,,1408,2013,H,clinton,ok
cushing daily citizen,,1409,1999,H,cushing,ok
durant daily democrat,,1410,1998,G,durant,ok
the edmond sun,,1411,2011,H,edmond,ok
elk city daily news,,1412,1999,H,elk city,ok
enid news & eagle,,1414,2000,F,enid,ok
the daily leader,,1416,1996,H,frederick,ok
guthrie news leader,,1417,2001,H,guthrie,ok
guymon daily herald,,1418,1999,H,guymon,ok
henryetta daily free-lance,,1419,1998,H,henryetta,ok
holdenville daily news,,1421,1998,H,holdenville,ok
hugo daily news,,1422,1998,H,hugo,ok
the lawton constitution,,1424,1998,F,lawton,ok
mcalester news-capital & democrat,,1426,1998,F,mcalester,ok
miami news-record,,1428,1999,G,miami,ok
muskogee daily phoenix & times-democrat,,1429,1998,F,muskogee,ok
the norman transcript,,1430,1997,F,norman,ok
the oklahoman,,1433,2005,C,oklahoma city,ok
daily times,,1434,2000,H,okmulgee,ok
the daily democrat,,1435,1995,H,pauls valley,ok
the perry daily journal,,1437,1998,H,perry,ok
the ponca city news,,1438,2003,G,ponca city,ok
the daily times,,1439,1995,G,pryor,ok
sapulpa daily herald,,1440,1998,G,sapulpa,ok
the seminole producer,,1442,1998,G,seminole,ok
newspress,,1443,1999,G,stillwater,ok
vinita daily journal,,1444,2006,H,vinita,ok
weatherford daily news,,1445,1998,G,weatherford,ok
the daily times,,1446,1995,H,wewoka,ok
mail tribune  (medford) and ashland daily tidings,,1448,2010,G,ashland,or
the daily astorian,,1449,1997,G,astoria,or
baker city herald,,1450,1998,H,baker city,or
the world,,1451,1994,F,coos bay,or
grants pass daily courier,,1452,1998,F,grants pass,or
herald and news,,1453,2006,F,klamath falls,or
argus observer,,1454,1998,G,ontario,or
daily journal of commerce,,1456,2006,H,portland,or
the news-review,,1457,1994,F,roseburg,or
the dalles chronicle,,1458,1998,G,the dalles,or
altoona mirror,,1460,1998,E,altoona,pa
beaver county times,,1462,1997,E,beaver,pa
bedford gazette,,1464,2002,F,bedford,pa
press enterprise,,1465,2006,F,bloomsburg,pa
the bradford era,,1467,1999,F,bradford,pa
butler eagle,,1469,1998,E,butler,pa
the sentinel,,1471,1994,F,carlisle,pa
public opinion,,1472,1994,E,chambersburg,pa
the daily courier,,1475,2000,F,connellsville,pa
corry evening journal,,1476,1998,H,corry,pa
the danville news,,1477,2004,H,danville,pa
the intelligencer,,1478,2000,E,doylestown,pa
the courier-express/tri-county sunday,,1479,1997,F,dubois,pa
ellwood city ledger,,1480,2005,G,ellwood city,pa
the news-herald,,1481,1995,G,franklin,pa
gettysburg times,,1482,1998,G,gettysburg,pa
the record-argus,,1484,1994,G,greenville,pa
the evening sun,,1485,1994,F,hanover,pa
the daily news,,1487,1996,F,huntingdon,pa
the indiana gazette,,1488,1998,F,indiana,pa
the kane republican,,1490,2000,H,kane,pa
leader times,,1492,1998,F,kittanning,pa
the reporter,,1493,1994,F,lansdale,pa
the latrobe bulletin,,1494,1998,G,latrobe,pa
lebanon daily news,,1495,2003,F,lebanon,pa
the times news,,1496,2007,F,lehighton,pa
the sentinel,,1497,1994,F,lewistown,pa
the express,,1498,1997,F,lock haven,pa
the daily news,,1499,1998,F,mckeesport,pa
the meadville tribune,,1500,1998,F,meadville,pa
the standard journal,,1501,2010,H,milton,pa
the valley independent,,1502,2012,F,monessen,pa
new castle news,,1504,1998,F,new castle,pa
the times herald,,1505,1994,E,norristown,pa
the phoenix,,1507,2012,H,pottsville,pa
the mercury,,1508,1998,E,pottstown,pa
republican & herald,,1509,2006,E,pottsville,pa
the punxsutawney spirit,,1511,2003,G,punxsutawney,pa
the ridgway record,,1513,2012,H,ridgway,pa
the daily press,,1514,1994,G,st. marys,pa
the morning times,,1515,2006,G,sayre,pa
the news-item,,1517,1994,F,shamokin,pa
daily american,,1519,2005,F,somerset,pa
pocono record,,1521,1998,F,stroudsburg,pa
the titusville herald,,1522,2007,H,titusville,pa
the daily review,,1523,2003,G,towanda,pa
the daily herald,,1524,1998,H,tyrone,pa
herald-standard,,1525,1998,E,uniontown,pa
warren times-observer,,1530,1998,F,warren,pa
observer-reporter,,1531,1998,E,washington,pa
the record herald,,1532,1994,F,waynesboro,pa
daily local news,,1534,1998,E,west chester,pa
the york dispatch,,1535,1997,E,york,pa
york daily record,,1536,1997,E,york,pa
the newport daily news,,1537,1997,F,newport,ri
the times,,1538,1996,F,pawtucket,ri
the westerly sun,,1539,1998,F,westerly,ri
aiken standard,,1540,1998,F,aiken,sc
the beaufort gazette,,1542,1997,F,beaufort,sc
the index-journal,,1543,1995,F,greenwood,sc
the sun news,,1544,1994,E,myrtle beach,sc
the times and democrat,,1545,1994,F,orangeburg,sc
herald-journal,,1547,2000,D,spartanburg,sc
the union daily times,,1548,1998,G,union,sc
aberdeen american news,,1549,1998,F,aberdeen,sd
brookings daily register,,1551,1998,G,brookings,sd
plainsman,,1552,2011,G,huron,sd
black hills pioneer,,1553,2003,H,spearfish,sd
the madison daily leader,,1555,1998,H,madison,sd
the daily republic,,1556,1996,F,mitchell,sd
capital journal,,1557,1999,H,pierre,sd
watertown public opinion,,1558,1998,F,watertown,sd
yankton daily press & dakotan,,1559,1998,G,yankton,sd
