Company,alt_name,NewsID,Year,Circ,City,State
lake city reporter,,681,1998,G,lake city,fl
the daily commercial,,683,1994,E,leesburg,fl
jackson county floridan,,684,2000,G,marianna,fl
naples daily news,,686,2014,D2,naple,fl
ocala star-banner,,687,1997,E,ocala,fl
clay today,,688,1996,H,orange park,fl
daily news,,689,2000,F,palatka,fl
palm beach daily news,,690,1997,G,palm beach,fl
the news herald,,691,1999,E,panama city,fl
the st. augustine record,,693,1998,F,st. augustine,fl
seminole herald,,694,1998,H,sanford,fl
news chief,,695,2002,F,winter haven,fl
the albany herald,,696,1997,E,albany,ga
americus times-recorder,,697,1998,G,americus,ga
athens banner-herald,,699,2003,E,athens,ga
the brunswick news,,700,2000,F,brunswick,ga
the daily tribune news,,701,1994,G,cartersville,ga
elgin courier news,,702,2013,G,aurora,il
cordele dispatch,,703,2001,H,cordele,ga
the daily citizen,,704,2002,F,dalton,ga
the courier herald,,705,1995,F,dublin,ga
griffin daily news,,707,2000,F,griffin,ga
clayton news daily/henry daily herald,,708,2005,H,jonesboro,ga
la grange daily news,,709,1998,F,la grange,ga
marietta daily journal,,712,1998,F,marietta,ga
the moultrie observer,,713,2012,G,moultrie,ga
rome news-tribune,,714,1998,F,rome,ga
thomasville times-enterprise,,717,1998,G,thomasville,ga
the tifton gazette,,718,1998,G,tifton,ga
the valdosta daily times,,719,1998,F,valdosta,ga
the daily sun,,720,1995,G,warner robins,ga
waycross journal-herald,,721,1998,F,waycross,ga
the morning news,,724,1995,H,blackfoot,id
the idaho statesman,,725,1994,D,boise,id
south idaho press,,726,2002,H,burley,id
idaho press-tribune,,727,1998,F,nampa,id
coeur d'alene press and post falls press,,728,2004,F,coeur d'alene,id
post register,,729,1998,E,idaho falls,id
shoshone news-press,,730,2002,H,kellogg,id
idaho state journal,,733,1998,F,pocatello,id
bonner county daily bee,,734,1998,G,sandpoint,id
the times-news,,735,2000,F,twin falls,id
the illinoian-star daily,,738,1994,H,beardstown,il
belleville news-democrat,,739,2000,D,belleville,il
